"Hostname","AppName","InstallPath","AppVersion"
"Host001","SANS 5X7 AV","C:\Program Files (x86)\SANS 5X7 AV","1.235"
"Host001","SoapUI","C:\Program Files (x86)\SoapUI","1.6"
"Host001","7-Zip 19.00 (x64)","C:\Program Files\7-Zip 19.00 (x64)","3.16"
"Host001","Git version","C:\Program Files (x86)\Git version","2.10"
"Host001","Mozilla Firefox ESR (x64 en-US)","C:\Program Files\Mozilla Firefox ESR (x64 en-US)","5.29"
"Host001","OpenSSL (64-bit)","C:\Program Files\OpenSSL (64-bit)","2.16"
"Host001","PuTTY (64-bit)","C:\Program Files\PuTTY (64-bit)","2.12"
"Host001","Windows Subsystem for Linux Update","C:\Program Files (x86)\Windows Subsystem for Linux Update","5.32"
"Host001","AWS Command Line Interface","C:\Program Files (x86)\AWS Command Line Interface","4.26"
"Host001","Java 8 (64-bit)","C:\Program Files\Java 8 (64-bit)","3.13"
"Host001","Microsoft Visual C++ 2019 X64 Additional Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Additional Runtime","7.48"
"Host001","KeePassXC","C:\Program Files (x86)\KeePassXC","1.9"
"Host001","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.39"
"Host001","Microsoft Visual C++ 2019 X64 Minimum Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Minimum Runtime","7.44"
"Host001","PowerShell","C:\Program Files (x86)\PowerShell","1.10"
"Host001","VMware Tools","C:\Program Files (x86)\VMware Tools","2.10"
"Host001","Microsoft Visual Studio Code","C:\Program Files (x86)\Microsoft Visual Studio Code","4.26"
"Host001","Wireshark 64-bit","C:\Program Files\Wireshark 64-bit","2.14"
"Host001","Java 8 Update","C:\Program Files (x86)\Java 8 Update","3.13"
"Host001","Java Auto Updater","C:\Program Files (x86)\Java Auto Updater","3.17"
"Host001","Citrix XenCenter","C:\Program Files (x86)\Citrix XenCenter","2.16"
"Host001","OpenOffice","C:\Program Files (x86)\OpenOffice","1.10"
"Host001","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.40"
"Host001","Microsoft Visual C++ 2015-2019 Redistributable (x64)","C:\Program Files\Microsoft Visual C++ 2015-2019 Redistributable (x64)","6.52"
"Host001","Microsoft Visual C++ 2019 X86 Additional Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Additional Runtime","7.48"
"Host001","RVTools","C:\Program Files (x86)\RVTools","1.7"
"Host001","Microsoft Visual C++ 2015-2019 Redistributable (x86)","C:\Program Files (x86)\Microsoft Visual C++ 2015-2019 Redistributable (x86)","6.50"
"Host001","Microsoft Visual C++ 2019 X86 Minimum Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Minimum Runtime","7.45"
"Host001","XmlNotepad","C:\Program Files (x86)\XmlNotepad","1.9"
"Host001","MySQL Connector Net","C:\Program Files (x86)\MySQL Connector Net","3.18"
"Host001","Microsoft OneDrive","C:\Program Files (x86)\Microsoft OneDrive","2.18"
"Host001","Postman-win","C:\Program Files (x86)\Postman-win","1.11"
"Host002","SANS 5X7 AV","C:\Program Files (x86)\SANS 5X7 AV","1.235"
"Host002","SoapUI","C:\Program Files (x86)\SoapUI","1.4"
"Host002","7-Zip 19.00 (x64)","C:\Program Files\7-Zip 19.00 (x64)","3.16"
"Host002","Git version","C:\Program Files (x86)\Git version","2.9"
"Host002","Mozilla Firefox ESR (x64 en-US)","C:\Program Files\Mozilla Firefox ESR (x64 en-US)","5.30"
"Host002","OpenSSL (64-bit)","C:\Program Files\OpenSSL (64-bit)","2.16"
"Host002","PuTTY (64-bit)","C:\Program Files\PuTTY (64-bit)","2.13"
"Host002","Windows Subsystem for Linux Update","C:\Program Files (x86)\Windows Subsystem for Linux Update","5.33"
"Host002","AWS Command Line Interface","C:\Program Files (x86)\AWS Command Line Interface","4.25"
"Host002","Java 8 (64-bit)","C:\Program Files\Java 8 (64-bit)","3.14"
"Host002","Microsoft Visual C++ 2019 X64 Additional Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Additional Runtime","7.47"
"Host002","KeePassXC","C:\Program Files (x86)\KeePassXC","1.7"
"Host002","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.40"
"Host002","Microsoft Visual C++ 2019 X64 Minimum Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Minimum Runtime","7.43"
"Host002","PowerShell","C:\Program Files (x86)\PowerShell","1.8"
"Host002","VMware Tools","C:\Program Files (x86)\VMware Tools","2.11"
"Host002","Microsoft Visual Studio Code","C:\Program Files (x86)\Microsoft Visual Studio Code","4.27"
"Host002","Wireshark 64-bit","C:\Program Files\Wireshark 64-bit","2.14"
"Host002","Java 8 Update","C:\Program Files (x86)\Java 8 Update","3.13"
"Host002","Java Auto Updater","C:\Program Files (x86)\Java Auto Updater","3.17"
"Host002","Citrix XenCenter","C:\Program Files (x86)\Citrix XenCenter","2.16"
"Host002","OpenOffice","C:\Program Files (x86)\OpenOffice","1.8"
"Host002","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.39"
"Host002","Microsoft Visual C++ 2015-2019 Redistributable (x64)","C:\Program Files\Microsoft Visual C++ 2015-2019 Redistributable (x64)","6.50"
"Host002","Microsoft Visual C++ 2019 X86 Additional Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Additional Runtime","7.48"
"Host002","RVTools","C:\Program Files (x86)\RVTools","1.7"
"Host002","Microsoft Visual C++ 2015-2019 Redistributable (x86)","C:\Program Files (x86)\Microsoft Visual C++ 2015-2019 Redistributable (x86)","6.51"
"Host002","Microsoft Visual C++ 2019 X86 Minimum Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Minimum Runtime","7.44"
"Host002","XmlNotepad","C:\Program Files (x86)\XmlNotepad","1.10"
"Host002","MySQL Connector Net","C:\Program Files (x86)\MySQL Connector Net","3.17"
"Host002","Microsoft OneDrive","C:\Program Files (x86)\Microsoft OneDrive","2.16"
"Host002","Postman-win","C:\Program Files (x86)\Postman-win","1.10"
"Host003","SANS 5X7 AV","C:\Program Files (x86)\SANS 5X7 AV","1.235"
"Host003","SoapUI","C:\Program Files (x86)\SoapUI","1.5"
"Host003","7-Zip 19.00 (x64)","C:\Program Files\7-Zip 19.00 (x64)","3.16"
"Host003","Git version","C:\Program Files (x86)\Git version","2.9"
"Host003","Mozilla Firefox ESR (x64 en-US)","C:\Program Files\Mozilla Firefox ESR (x64 en-US)","5.31"
"Host003","OpenSSL (64-bit)","C:\Program Files\OpenSSL (64-bit)","2.16"
"Host003","PuTTY (64-bit)","C:\Program Files\PuTTY (64-bit)","2.14"
"Host003","Windows Subsystem for Linux Update","C:\Program Files (x86)\Windows Subsystem for Linux Update","5.34"
"Host003","AWS Command Line Interface","C:\Program Files (x86)\AWS Command Line Interface","4.25"
"Host003","Java 8 (64-bit)","C:\Program Files\Java 8 (64-bit)","3.15"
